Author,Reviews,Location,Ratings,Review Title,Review Text,Date of Experience
Doreen Henry,7,GB,5,The MoneyGram app is great,"I use the app and it is more easier and convenient to send money, because I can do it anywhere and anytime.",2023-09-06
Valued Customer,2,US,5,The transfer was made easy because the…,The transfer was made easy because the required information was accesable for the transfer. Thank you very much.,2023-09-03
S A,1,AU,5,I like the way moneygram work,"I like the way moneygram workPast 3 years I've been using moneygram.they send the money quickly and with securely.Also when they couldn’t sent the money overseas,they gave my me refund.",2023-09-24
Marika,1,AU,5,Very helpful Yes,"Yes , it’s been doing well and reliable..",2023-10-03
Robert Zellers,1,US,5,It is great,"It is great, but I have a transaction limit preventing me from placing new money transfers !",2023-10-03
Volodymyr,3,GB,5,Exselent app,No review text,2023-09-29
Yas,1,US,5,Excellent,"Very good ,i use it all the time its the best",2023-10-03
Luna,1,US,5,"Amazing app money in a minutes, discounts thank you for making my life easier 🙏",Amazing app money in a minutes,2023-10-03
Malia,1,AU,3,Sometimes theres problem with your…,Sometimes theres problem with your system,2023-10-03
Anand,1,AU,3,Rates not very good..some other company…,Rates not very good..some other company offers better currency rate,2023-09-23
Alexander,2,US,5,Right now your app is not working  I can't send money I hope you fix it soon thank you,Your app is not working,2023-10-02
John Blacklock,2,GB,5,Fast easy,Fast easy. No hassle.,2023-09-20
Tevita,1,US,4,how easy to send money,Very very simple to send money.,2023-09-29
George,1,AU,5,So easy to use and great back up…,So easy to use and great back up service and quite inexpensive.,2023-09-21
Mohammed Nazim,3,AU,5,Cheapest way to send money overseas,Very easy and cheap to send money through money gram,2023-09-16
Reynald St Fleur,1,US,3,It takes too long for a transfer to…,It takes too long for a transfer to reach destination,2023-09-01
Filipe,1,AU,4,Great app for sending money,Good cause its easy to use,2023-10-03
GS,2,AU,5,Quick and easy,"Competent rate, quick and easy transfers",2023-09-06
Baby,4,US,5,Cheap rates,No review text,2023-09-25
Kaljinder,1,AU,5,Good amazing,No review text,2023-09-22
Leith Highcazony,5,AU,3,I'm DESPERATE to find an easy way to…send money to philippines,"I'm DESPERATE to find an easy way to send money to Philippines, presently I'm using World Remit,but it always has problems,it's impossible to contact them in any wayI think I only used your company once or twice,this survey is very important, because it shows your company want my business,I will try you again todayregards Leith Highcazony",2023-10-03
Lupe,4,AU,5,Money arrived fast and safe,"Money arrived fast and safe, small fees is the best",2023-10-03
Mere,1,AU,5,I highly  epriciate  the Money Gram…,I highly  epriciate  the Money Gram what you have done for me I trust you 💯 well.done,2023-10-03
Genesis,1,US,1,It take over a day before my nephew,It take over a day before my nephew get the money. This the 1st time it happen to me. Call the customer services its worthless either i dont like their explanation it doest make sense to me next time it happen again im not using you guys at all,2023-10-01
ANDI RUSLI,4,AU,5,Money arrived on time at destination in…,Money arrived on time at destination in 24 hour,2023-09-15
Jaspreet,1,AU,5,Less time consuming,No review text,2023-09-30
REENA,4,AU,5,Low fees,Transactions are quick and easy to make. The low transaction fee makes it even better.,2023-09-28
Vasiti,1,AU,5,Excellent service,I really love sending money through MoneyGram because I just love the service they provide in which they always have the highest rate compared to others and its fast and reliable.,2023-10-03
I Tyrell,2,AU,4,higher exchange rate than other apps &…,higher exchange rate than other apps & smaller fee.  Only thing I don't like is the add that comes up at the front of the app.,2023-09-25
Carmen Ramírez,1,US,5,No issues retrieving money in Costa…,No issues retrieving money in Costa Rica.,2023-09-01
Wilbert Lafoai,1,WS,5,Your service's never let anyone down…,Your service's never let anyone down but thanks.,2022-10-04
Edwin,2,AU,5,Best money app,Fast and easy money transfer,2023-09-26
Shakif,2,AU,1,Worst,Worst. Take more time to send. I never ever again send my money Through moneygram.,2023-09-21
Sapena,1,AU,5,You have one more satisfied customer,MoneyGram service is prompt and easy to access,2023-10-03
Hasan,4,US,5,Excellent and Fast Service.,No review text,2023-10-02
Judith Viridiana,1,US,4,Good Service!!,No review text,2023-10-02
Marcelino,1,US,5,Excelent services,"Excelent services, and customer service. I enjoy the discount as well. The money arrives always on time. And is the cheapest app that you can find.",2023-10-02
Sailesh Prasad,3,AU,5,It is the best moneygram and fastest to send and receive money to our loved ones,It is the fastest way to send money,2023-10-03
Henry,1,US,3,Sugerencia,"The service they provide is very good, I like that I can send money directly to a bank deposit, I give them 3 stars because I cannot deposit in dollars to an account opened in dollars in my country, if they improve that it would be a 5-star service.",2023-10-02
Amandeep,1,GB,5,This app is quite better than other…,This app is quite better than other money transfer app I used it from last 9 months it is best from my side,2023-01-03
Emily,1,AU,5,Easy as to send money overseas,"Easy as to send money overseas, rates are good too compared to remitly. Quick collection from point of pick up too.",2023-09-23
Gaunavou,2,AU,5,Yes like the rate and the time of…,Yes like the rate and the time of transfer money,2022-11-01
Ulrich Borel SamagaDeTembiwa,5,US,5,Sending money overseas,The process of sending money overseas was super easy. I just wish sending fees weren't so high.,2023-10-01
Jose,1,TL,4,My experience great to use moneygram sent money faster to my familiy any time …,My experience great to use moneygram online coz I can't sent money to my family faster.,2023-10-03
Leonito,1,AU,4,I am happy with the rate very diferent…,I am happy with the rate very diferent with  western oniun,2023-10-03
Giuli,1,US,5,everything is perfect,No review text,2023-10-02
Zak Roberts,6,GB,5,Transferring money made easy and hassle…,Transferring money made easy and hassle free.,2023-10-02
Gelyn,1,AU,4,Excellent!,No review text,2023-09-21
CAROL  Manga,3,AU,4,Customer service,No review text,2023-10-03
Irakli,2,US,5,Great deal 🫰✌️,No review text,2023-10-02
Ashok,1,AU,5,Best experience!!,"Best, easiest and safest way to send money while you are sitting at home and receivers can get money in minutes!!",2023-08-04
Ritu,1,AU,5,It's really really very helpful for me…,It's really really very helpful for me to transfer money overseas......Even the time time duration is quite short and the charges are also very reasonable.....😊😊,2023-09-30
Ngocbich,1,AU,5,Fast money transfer,Fast money transfer . Money arrives at recipient's account quickly,2023-09-13
rodrigo,5,AU,4,It’s good to have a easy way to send…,It’s good to have a easy way to send money to otherwise difficult countries,2023-09-05
Anna,3,GB,1,THEY TAKE YOUR INFORMATION THEN BAN YOU! Avoid!,"Literally piece of sh__. The SMS verification did not work then I had to contact support which responded like 3 days later. When I finally tried to make a transaction, it got rejected. AND MY ACCOUNT JUST GOT BANNED???!!!Only for live chat to tell me later, they have refused to provide service to me? You have my ID. Also my card which is in MY NAME and it requires a text verification, which went through. This is the worst financial platform I have ever used in my life.THEY TAKE YOUR INFORMATION THEN BAN YOU! NOT SAFE! AVOID AT ALL COST!",2023-10-02
Joey,2,AU,5,Review from repeat customer,"Excellent service on time, money is cleared fast. Rate is a bit low compared to lbc and western union.",2023-09-25
Faalili,1,AU,5,Love this app,Love this app. It's fast and easy to use.,2023-10-03
Wilmer,1,GB,4,My experience as always been ok  except…,My experience as always been ok  except a few weeks ago when I made a mistake on one of my many transactions and this cost me more money to resend the same amount twice when that should have been easily resolved.That was a huge disappointment for me and I don’t even know why I still used Money Gram !,2023-09-06
Gyongyi BOTTYAN,4,GB,4,I'm glad I don't need to stay queuing,"I'm glad I don't need to stay queuing, I can send my money from a comfort of my home!",2023-10-02
Talita,1,AU,5,Very good well done.,No review text,2023-10-03
Chandana,1,US,3,"not good, its take long time",rates are too low,2023-10-02
Yasdy,1,AU,5,Very helpful and easy for me to send…,Very helpful and easy for me to send money,2023-10-03
Alonso,1,AU,5,Very fast transaction,"Very fast transaction , even i don't use the app.",2023-10-03
Lutfor,1,AU,5,"Smooth, easy and fast",No review text,2023-10-01
Rebecca,1,AU,4,It was easy to get help,No review text,2023-10-02
Abdullah,1,AU,5,Vey good service,No review text,2023-09-26
Ronald,1,US,5,Simple,"Simple, efficient and I greatly appreciate the security function",2023-09-30
Miss Silvina  Moreira,5,GB,5,Very good service,No review text,2023-09-21
Sonia,4,GB,5,Easy money transfer,Easy money transfer. I absolutely love the fact that you can transfer to the person's debit card too as opposed to the person having to pick it up somewhere or having to wait for the transfer to hit through banks accounts.,2023-09-04
Franck,2,US,4,Is good and fast,No review text,2023-09-18
Reease,1,US,5,I love using Moneygram,"I love using Moneygram, no hassles and no issues, I love the many options they offer to send money. This helps out a lot. And their fees are so good. I always recommend moneygram to everyone any one I know who sends money over seas. I love moneygram.",2023-09-25
prudence Atherton,2,US,5,It's quick and efficient,No review text,2023-09-30
customer,10,GB,1,Ref.34714741,Ref.34714741I don't receive money for this transaction £60 not soul problem yet.,2022-11-13
Amadou Tidjani,2,US,5,Sincerely speaking MoneyGram’s…Money Gram’s the best,Sincerely speaking MoneyGram’s reliability and performances when it comes to delivering our products captivates and convinces me about their outstanding capabilities of always being committed in doing what’s right for their customers..I very much look forward in continuing using their services,2023-10-02
Enrique,1,US,5,Making it easier and better for me and…,Making it easier and better for me and my family,2023-10-02
Beverly,1,US,5,Using my phone to send money and my…,"Using my phone to send money and my relatives being able to receive it in minutes without me having to leave my house, is impressive! Thank you.",2023-09-27
Lucienne,2,GB,5,The service was amazing fast and on…,The service was amazing fast and on time .,2023-10-02
JB,3,GB,1,unreliable,trash. the money which will be sent to my friend in the us hasn't arrived without any explanations. i thought it has gone through since i had an email saying it was. days later another message was sent saying it was cancelled. will call the cs asap if the money that i sent would not get back into my account. still waiting for the 10 days ultimatum for my money's return.,2023-09-29
Myagmarsuren,1,US,5,Its an excellent app to use and very…,"Its an excellent app to use and very convenient,i like it",2023-10-02
 Richard Bomem,7,GB,5,Quick send and receiver.,It's quicker and safer to send and receive money from all over the world.,2023-10-02
Wayne,1,US,5,ease of use on website,ease of use on websiteper transaction charge is great,2023-10-01
Cruz,1,US,5,Very fast and easy to use.,No review text,2023-10-02
Patsy,9,GB,5,I have used Money Gram since 2001,I have used Money Gram since 2001. Money Gram never ever let me down. My family received their safe and sound. Thank you very much Money Gram for providing a“Far from HOME” Service,2023-10-02
Tsenguun,1,US,5,It’s easy to transfer,It’s easy to transfer and fee is cheaper than before,2023-09-01
Char,1,US,5,Quick and easy,No review text,2023-09-30
