Date,Open,High,Low,Close,Adj Close,Volume
2022-10-31,824.000000,831.000000,819.500000,823.549988,823.549988,4487537
2022-11-01,827.700012,844.900024,823.549988,841.799988,841.799988,7769108
2022-11-02,850.000000,850.000000,829.000000,833.400024,833.400024,11859603
2022-11-03,825.000000,837.799988,823.500000,833.849976,833.849976,6632872
2022-11-04,837.000000,867.000000,832.000000,862.900024,862.900024,11128361
2022-11-07,867.200012,869.000000,845.549988,853.000000,853.000000,7995787
2022-11-09,859.500000,901.000000,859.000000,890.799988,890.799988,20088415
2022-11-10,894.000000,898.000000,876.299988,893.450012,893.450012,9906420
2022-11-11,905.000000,907.799988,890.799988,894.500000,894.500000,8777095
2022-11-14,895.000000,907.500000,885.000000,895.049988,895.049988,7653024
2022-11-15,898.900024,915.500000,895.000000,906.900024,906.900024,10675723
2022-11-16,915.000000,916.000000,874.400024,887.349976,887.349976,11504802
2022-11-17,886.000000,897.700012,880.500000,890.849976,890.849976,5190475
2022-11-18,892.049988,894.900024,879.599976,888.900024,888.900024,5384458
2022-11-21,885.000000,888.000000,869.000000,871.599976,871.599976,6108453
2022-11-22,871.599976,885.750000,870.500000,882.450012,882.450012,5466001
2022-11-23,885.450012,887.500000,866.650024,873.599976,873.599976,5319949
2022-11-24,873.900024,882.500000,868.299988,876.650024,876.650024,5111180
2022-11-25,877.000000,881.000000,872.099976,879.599976,879.599976,5079099
2022-11-28,876.000000,885.250000,873.500000,878.599976,878.599976,4168244
2022-11-29,878.000000,891.799988,874.650024,878.200012,878.200012,3663099
2022-11-30,878.900024,884.150024,873.299988,881.000000,881.000000,3797377
2022-12-01,884.750000,896.500000,882.000000,890.549988,890.549988,4491806
2022-12-02,894.000000,903.599976,884.250000,888.200012,888.200012,6279538
2022-12-05,891.599976,896.500000,878.549988,893.150024,893.150024,3966501
2022-12-06,893.799988,902.299988,886.000000,896.450012,896.450012,4836193
2022-12-07,897.799988,902.500000,884.799988,886.750000,886.750000,2867882
2022-12-08,888.000000,898.500000,887.349976,892.900024,892.900024,2822061
2022-12-09,896.049988,912.000000,882.200012,890.750000,890.750000,6979639
2022-12-12,892.049988,894.849976,878.549988,881.299988,881.299988,3412185
2022-12-13,884.950012,898.000000,881.299988,894.799988,894.799988,3821073
2022-12-14,897.200012,908.500000,891.650024,900.549988,900.549988,4930906
2022-12-15,900.250000,906.950012,880.349976,883.950012,883.950012,3679459
2022-12-16,882.950012,890.950012,854.400024,860.450012,860.450012,7791763
2022-12-19,860.450012,896.000000,859.599976,892.849976,892.849976,5205837
2022-12-20,894.099976,895.299988,871.299988,884.250000,884.250000,4023275
2022-12-21,887.000000,893.000000,851.549988,857.650024,857.650024,4660583
2022-12-22,864.700012,874.299988,845.549988,856.900024,856.900024,5517570
2022-12-23,853.000000,853.950012,790.200012,794.099976,794.099976,9112806
2022-12-26,798.000000,812.000000,785.299988,806.049988,806.049988,7205540
2022-12-27,810.099976,821.200012,798.099976,817.150024,817.150024,4872234
